order_id,order_date,order_time,item_id,menu_item,category,size,unit_price,quantity,line_total,order_channel,payment_method
R1-00001,2026-05-25,18:09:21,104,Crispy Chicken Sandwich,Chicken,,5.99,1,5.99,Takeout,Credit Card
R1-00001,2026-05-25,18:09:21,302,Medium Fries,Fries,Medium,2.49,1,2.49,Takeout,Credit Card
R1-00001,2026-05-25,18:09:21,404,Bottled Water,Drink,,1.79,1,1.79,Takeout,Credit Card
R1-00002,2026-05-26,09:34:49,202,Cheeseburger,Burger,,3.99,1,3.99,Drive-Thru,Debit Card
R1-00002,2026-05-26,09:34:49,302,Medium Fries,Fries,Medium,2.49,1,2.49,Drive-Thru,Debit Card
R1-00002,2026-05-26,09:34:49,403,Soft Drink (Large),Drink,Large,2.19,1,2.19,Drive-Thru,Debit Card
R1-00003,2026-05-26,11:06:13,202,Cheeseburger,Burger,,3.99,3,11.97,Drive-Thru,Mobile Pay
R1-00003,2026-05-26,11:06:13,302,Medium Fries,Fries,Medium,2.49,1,2.49,Drive-Thru,Mobile Pay
R1-00003,2026-05-26,11:06:13,401,Soft Drink (Small),Drink,Small,1.49,1,1.49,Drive-Thru,Mobile Pay
R1-00004,2026-05-26,11:13:48,201,Hamburger,Burger,,3.49,1,3.49,Dine-In,Credit Card
R1-00004,2026-05-26,11:13:48,301,Small Fries,Fries,Small,1.99,1,1.99,Dine-In,Credit Card
R1-00004,2026-05-26,11:13:48,403,Soft Drink (Large),Drink,Large,2.19,1,2.19,Dine-In,Credit Card
R1-00005,2026-05-26,12:07:42,203,Double Cheeseburger,Burger,,5.49,1,5.49,Dine-In,Mobile Pay
R1-00005,2026-05-26,12:07:42,401,Soft Drink (Small),Drink,Small,1.49,1,1.49,Dine-In,Mobile Pay
R1-00006,2026-05-26,12:17:09,203,Double Cheeseburger,Burger,,5.49,1,5.49,Dine-In,Mobile Pay
R1-00006,2026-05-26,12:17:09,403,Soft Drink (Large),Drink,Large,2.19,1,2.19,Dine-In,Mobile Pay
R1-00006,2026-05-26,12:17:09,302,Medium Fries,Fries,Medium,2.49,1,2.49,Dine-In,Mobile Pay
R1-00007,2026-05-26,12:31:58,102,Chicken Nuggets (10 pc),Chicken,10 pc,6.49,1,6.49,Drive-Thru,Debit Card
R1-00007,2026-05-26,12:31:58,303,Large Fries,Fries,Large,2.99,1,2.99,Drive-Thru,Debit Card
R1-00008,2026-05-26,12:46:43,203,Double Cheeseburger,Burger,,5.49,1,5.49,Takeout,Credit Card
R1-00008,2026-05-26,12:46:43,303,Large Fries,Fries,Large,2.99,1,2.99,Takeout,Credit Card
R1-00009,2026-05-26,13:21:57,205,Stack Deluxe Burger,Burger,,7.49,1,7.49,Drive-Thru,Credit Card
R1-00009,2026-05-26,13:21:57,101,Chicken Nuggets (6 pc),Chicken,6 pc,4.49,1,4.49,Drive-Thru,Credit Card
R1-00009,2026-05-26,13:21:57,403,Soft Drink (Large),Drink,Large,2.19,1,2.19,Drive-Thru,Credit Card
R1-00010,2026-05-26,18:09:52,201,Hamburger,Burger,,3.49,1,3.49,Drive-Thru,Debit Card
R1-00010,2026-05-26,18:09:52,104,Crispy Chicken Sandwich,Chicken,,5.99,1,5.99,Drive-Thru,Debit Card
R1-00010,2026-05-26,18:09:52,302,Medium Fries,Fries,Medium,2.49,1,2.49,Drive-Thru,Debit Card
R1-00010,2026-05-26,18:09:52,402,Soft Drink (Medium),Drink,Medium,1.89,1,1.89,Drive-Thru,Debit Card
R1-00011,2026-05-26,21:26:47,205,Stack Deluxe Burger,Burger,,7.49,1,7.49,Drive-Thru,Cash
R1-00011,2026-05-26,21:26:47,301,Small Fries,Fries,Small,1.99,1,1.99,Drive-Thru,Cash
R1-00012,2026-05-27,13:03:33,101,Chicken Nuggets (6 pc),Chicken,6 pc,4.49,1,4.49,Drive-Thru,Credit Card
R1-00012,2026-05-27,13:03:33,302,Medium Fries,Fries,Medium,2.49,1,2.49,Drive-Thru,Credit Card
R1-00013,2026-05-27,16:30:51,104,Crispy Chicken Sandwich,Chicken,,5.99,2,11.98,Takeout,Credit Card
R1-00013,2026-05-27,16:30:51,301,Small Fries,Fries,Small,1.99,1,1.99,Takeout,Credit Card
R1-00013,2026-05-27,16:30:51,402,Soft Drink (Medium),Drink,Medium,1.89,1,1.89,Takeout,Credit Card
R1-00014,2026-05-27,17:05:05,103,Chicken Nuggets (20 pc),Chicken,20 pc,10.99,1,10.99,Delivery,Credit Card
